,car_name,car_prices_in_rupee,kms_driven,fuel_type,transmission,ownership,manufacture,engine,Seats,company_name
157,Ecosport 1.5 Petrol Titanium AT,651000.0,49000,Petrol,Automatic,1st Owner,2016,1496,5,Ford
158,Thar LX 4-Str Hard Top Diesel AT,1751000.0,19000,Diesel,Automatic,1st Owner,2022,2184,4,Mahindra
159,i20 Magna Optional 1.4 CRDi,391000.0,56000,Diesel,Manual,2nd Owner,2013,1396,5,Hyundai
160,City 1.5 V MT,375000.0,65000,Petrol,Manual,2nd Owner,2010,1497,5,Honda
161,Etios G,490000.0,27680,Petrol,Manual,1st Owner,2013,1496,5,Toyota
162,Seltos GTX Plus AT D,1825000.0,27305,Diesel,Automatic,1st Owner,2021,1493,5,Kia
163,3 Series 320d,3300000.0,10793,Diesel,Automatic,1st Owner,2019,1995,5,BMW
164,X3 xDrive 20d Luxury Line,5600000.0,12000,Diesel,Automatic,1st Owner,2020,1995,5,BMW
165,Hector Sharp DCT,1499000.0,44000,Petrol,Automatic,1st Owner,2019,1451,5,MG
166,Seltos HTK G,1199000.0,63000,Petrol,Manual,1st Owner,2020,1497,5,Kia
167,i20 Sportz Plus Diesel,650000.0,87000,Diesel,Manual,1st Owner,2019,1396,5,Hyundai
168,Alto LXi,190000.0,61000,Petrol,Manual,1st Owner,2010,796,5,Maruti
169,i20 Sportz Option 1.4 CRDi,625000.0,72000,Diesel,Manual,1st Owner,2016,1396,5,Hyundai
170,A4 2.0 TDI Multitronic,1651000.0,70000,Diesel,Automatic,1st Owner,2015,1968,5,Audi
171,Micra Diesel XV,225000.0,58000,Diesel,Manual,2nd Owner,2012,1461,5,Nissan
172,Jazz Active,130000.0,90000,Petrol,Manual,3rd Owner,2009,1198,5,Honda
173,City VX MT,1250000.0,19000,Petrol,Manual,1st Owner,2022,1497,5,Honda
174,Corolla Altis G AT,925000.0,72159,Petrol,Automatic,1st Owner,2014,1798,5,Toyota
175,Ecosport 1.5 DV5 MT Titanium,590000.0,78000,Diesel,Manual,1st Owner,2015,1498,5,Ford
176,Ecosport 1.5 Diesel Titanium BSIV,690000.0,58000,Diesel,Manual,1st Owner,2018,1498,5,Ford
177,Ecosport 1.5 Diesel Titanium Plus BSIV,890000.0,72000,Diesel,Manual,1st Owner,2018,1498,5,Ford
178,Rover Range Rover Evoque 2.0 TD4 SE,4250000.0,56000,Diesel,Automatic,1st Owner,2018,1999,5,Land
179,Micra Diesel XV,290000.0,73000,Diesel,Manual,1st Owner,2012,1461,5,Nissan
180,Creta 1.6 VTVT S,890000.0,28840,Petrol,Manual,1st Owner,2016,1591,5,Hyundai
181,Swift Dzire AMT ZXI,690000.0,51500,Petrol,Automatic,1st Owner,2019,1197,5,Maruti
182,S-Presso VXI Plus AT 2019-2022,480000.0,41370,Petrol,Automatic,1st Owner,2020,998,5,Maruti
183,Creta 1.6 VTVT S,875000.0,41266,Petrol,Manual,1st Owner,2016,1591,5,Hyundai
184,Verna VTVT 1.6 AT SX Option,990000.0,31740,Petrol,Automatic,1st Owner,2018,1591,5,Hyundai
185,Ciaz VXi Plus,615000.0,77876,Petrol,Manual,1st Owner,2015,1373,5,Maruti
186,Kushaq 1.5 TSI Style,2050000.0,9500,Petrol,Manual,1st Owner,2022,1498,5,Skoda
187,Grand i10 1.2 Kappa Sportz Option AT,625000.0,28387,Petrol,Automatic,1st Owner,2019,1197,5,Hyundai
189,Grand i10 Magna,450000.0,20000,Petrol,Manual,2nd Owner,2017,1197,5,Hyundai
190,C-Class Progressive C 220d,4250000.0,30686,Diesel,Automatic,1st Owner,2020,1950,5,Mercedes-Benz
191,Indica eV2 DL BSIII,100000.0,120000,Diesel,Manual,2nd Owner,2013,1396,5,Tata
192,Bolero Power Plus SLE,600000.0,184000,Diesel,Manual,2nd Owner,2018,1493,7,Mahindra
193,City 1.5 S AT,400000.0,40000,Petrol,Automatic,1st Owner,2009,1497,5,Honda
194,Ciaz Delta Diesel,625000.0,55000,Diesel,Manual,1st Owner,2015,1248,5,Maruti
195,Grand i10 1.2 Kappa Sportz Option,575000.0,38000,Petrol,Manual,1st Owner,2019,1197,5,Hyundai
196,Q3 30 TFSI Premium FWD,2350000.0,40000,Petrol,Automatic,1st Owner,2017,1395,5,Audi
197,Santro GS zipDrive - Euro II,135000.0,60000,Petrol,Manual,2nd Owner,2006,999,5,Hyundai
199,Swift LDI,210000.0,143000,Diesel,Manual,2nd Owner,2011,1248,5,Maruti
200,Indica Aqua 1.3 Quadrajet BSIV,125000.0,110000,Diesel,Manual,3rd Owner,2012,1248,5,Tata
201,KUV 100 mFALCON D75 K4 Plus,475000.0,58000,Diesel,Manual,1st Owner,2017,1198,6,Mahindra
202,City i VTEC SV,550000.0,65000,Petrol,Manual,2nd Owner,2014,1497,5,Honda
203,Harrier XZ Plus,1700000.0,50000,Diesel,Manual,1st Owner,2021,1956,5,Tata
204,Zest Revotron 1.2 XT,349000.0,55000,Petrol,Manual,1st Owner,2015,1193,5,Tata
205,Rover Discovery Sport R-Dynamic SE Diesel,7000000.0,19500,Diesel,Automatic,1st Owner,2021,1999,7,Land
206,XUV500 AT W10 FWD,925000.0,78000,Diesel,Automatic,2nd Owner,2016,2179,7,Mahindra
207,City V MT,390000.0,58000,Petrol,Manual,1st Owner,2010,1497,5,Honda
208,XUV500 W10 2WD,1025000.0,91000,Diesel,Manual,1st Owner,2017,2179,7,Mahindra
209,XUV500 AT W10 1.99 mHawk,1125000.0,30000,Diesel,Automatic,1st Owner,2016,1997,7,Mahindra
210,Baleno 1.2 Zeta,725000.0,44153,Petrol,Manual,1st Owner,2018,1197,5,Maruti
211,C-Class C 250d Avantgarde Edition C,3450000.0,21000,Diesel,Automatic,1st Owner,2018,2143,5,Mercedes-Benz
212,Seltos HTX G,1400000.0,19000,Petrol,Manual,1st Owner,2020,1497,5,Kia
213,Alcazar Signature Diesel AT,1950000.0,27300,Diesel,Automatic,1st Owner,2021,1493,6,Hyundai
214,Superb Laurin & klement,3400000.0,31001,Petrol,Automatic,1st Owner,2021,1984,5,Skoda
215,KWID 1.0 RXT,310000.0,50000,Petrol,Manual,1st Owner,2017,999,5,Renault
216,Wagon R LXI BSII,130000.0,77000,Petrol,Manual,2nd Owner,2005,998,5,Maruti
217,Swift Dzire AMT VXI,650000.0,53000,Petrol,Automatic,1st Owner,2018,1197,5,Maruti
218,RediGO S,275000.0,20000,Petrol,Manual,1st Owner,2017,799,5,Datsun
219,Brio S Option MT,350000.0,72000,Petrol,Manual,1st Owner,2013,1198,5,Honda
220,Creta 1.6 VTVT S,890000.0,26000,Petrol,Manual,1st Owner,2016,1591,5,Hyundai
221,Amaze S i-Dtech,425000.0,66000,Diesel,Manual,1st Owner,2015,1498,5,Honda
222,XF 2.2 Litre Luxury,2200000.0,69619,Diesel,Automatic,1st Owner,2014,2179,5,Jaguar
223,Alto K10 VXI AMT,430000.0,30000,Petrol,Automatic,1st Owner,2018,998,5,Maruti
224,Wagon R LXI Minor,211000.0,61000,Petrol,Manual,1st Owner,2009,1061,5,Maruti
225,Duster 110PS Diesel RxZ AMT,975000.0,31000,Diesel,Automatic,1st Owner,2018,1461,5,Renault
226,Polo GT TSI,625000.0,66000,Petrol,Automatic,1st Owner,2015,1197,5,Volkswagen
227,Rover Discovery Sport R-Dynamic SE,7200000.0,7700,Petrol,Automatic,1st Owner,2021,1997,7,Land
228,XUV700 AX3 AT,1750000.0,9000,Petrol,Automatic,1st Owner,2022,1999,5,Mahindra
229,Tigor 1.2 Revotron XT,340000.0,60000,Petrol,Manual,2nd Owner,2017,1199,5,Tata
230,Fabia 1.2 MPI Active,110000.0,110000,Petrol,Manual,3rd Owner,2009,1198,5,Skoda
231,Seltos HTX Plus AT D,1675000.0,51001,Diesel,Automatic,1st Owner,2020,1493,5,Kia
232,Compass 2.0 Limited Plus AT,2100000.0,56207,Diesel,Automatic,1st Owner,2020,1956,5,Jeep
233,GLA Class 200 d Sport,2690000.0,58000,Diesel,Automatic,1st Owner,2019,2143,5,Mercedes-Benz
234,i20 Diesel Sportz,650000.0,73290,Diesel,Manual,1st Owner,2018,1396,5,Hyundai
235,Verna 1.6 CRDi S,790000.0,44283,Diesel,Manual,1st Owner,2017,1582,5,Hyundai
236,Celerio VXI AT,425000.0,48000,Petrol,Automatic,1st Owner,2016,998,5,Maruti
237,City 1.5 S MT,340000.0,107500,Petrol,Manual,3rd Owner,2010,1497,5,Honda
238,Swift 1.3 LXI,,80000,Petrol,Manual,3rd Owner,2007,1298,5,Maruti
239,SX4 Celebration Petrol,200000.0,90000,Petrol,Manual,2nd Owner,2009,1586,5,Maruti
240,Vitara Brezza LXI,775000.0,10000,Petrol,Manual,1st Owner,2021,1462,5,Maruti
241,Wagon R LXI BS IV,215000.0,120000,Petrol,Manual,1st Owner,2011,998,5,Maruti
242,Wagon R LXI BS IV,237000.0,120000,Petrol,Manual,1st Owner,2011,998,5,Maruti
243,Zen LX,,90000,Petrol,Manual,3rd Owner,2002,993,5,Maruti
244,KUV 100 NXT G80 K2,425000.0,46000,Petrol,Manual,1st Owner,2018,1198,6,Mahindra
245,Sunny XL D,575000.0,28000,Diesel,Manual,1st Owner,2017,1461,5,Nissan
246,WR-V SV,825000.0,24000,Petrol,Manual,1st Owner,2020,1199,5,Honda
247,WR-V i-VTEC S,690000.0,23000,Petrol,Manual,1st Owner,2018,1199,5,Honda
248,WR-V i-VTEC VX,775000.0,24300,Petrol,Manual,1st Owner,2018,1199,5,Honda
249,WR-V i-VTEC VX,790000.0,51000,Petrol,Manual,1st Owner,2019,1199,5,Honda
250,Seltos GTX Plus DCT,1490000.0,6000,Petrol,Automatic,1st Owner,2020,1353,5,Kia
251,Seltos GTX Plus DCT,1725000.0,12600,Petrol,Automatic,1st Owner,2021,1353,5,Kia
252,Meridian Limited Opt AT 4x4,3700000.0,3500,Diesel,Automatic,1st Owner,2022,1956,7,Jeep
253,i10 Era,230000.0,120000,Petrol,Manual,1st Owner,2011,1086,5,Hyundai
254,Grand i10 Nios Sportz CNG,750000.0,5000,Cng,Manual,1st Owner,2022,1197,5,Hyundai
255,Santro Xing GLS,135000.0,120000,Petrol,Manual,4th Owner,2010,1086,5,Hyundai
256,Jazz V CVT,695000.0,40000,Petrol,Automatic,1st Owner,2018,1199,5,Honda
257,City i-VTEC V,785000.0,96000,Petrol,Manual,1st Owner,2018,1497,5,Honda
258,City 1.5 S MT,325000.0,67000,Petrol,Manual,2nd Owner,2010,1497,5,Honda
259,City i-VTEC V,790000.0,72000,Petrol,Manual,1st Owner,2018,1497,5,Honda
260,i10 Magna,321000.0,89000,Petrol,Manual,1st Owner,2013,1197,5,Hyundai
